Escuela_ID;Curso;Matrícula
9;2°;118
9;3°;109
9;4°;111
9;5°;116
9;6°;113
9;7°;130
14;2°;59
14;3°;51
14;4°;62
14;5°;54
14;6°;51
14;7°;56
22;2°;81
22;3°;69
22;4°;82
22;5°;69
22;6°;100
22;7°;82
60;2°;26
60;3°;36
60;4°;43
60;5°;25
60;6°;39
60;7°;28
74;2°;103
74;3°;119
74;4°;115
74;5°;115
74;6°;109
74;7°;126
194;2°;56
194;3°;64
194;4°;54
194;5°;43
194;6°;44
194;7°;44
197;2°;115
197;3°;102
197;4°;102
197;5°;106
197;6°;93
197;7°;107
210;2°;76
210;3°;74
210;4°;77
210;5°;83
210;6°;54
210;7°;74
250;2°;53
250;3°;60
250;4°;46
250;5°;57
250;6°;68
250;7°;51
253;2°;76
253;3°;74
253;4°;91
253;5°;69
253;6°;75
253;7°;84
288;4°;15
288;5°;10
288;6°;19
288;7°;14
346;2°;107
346;3°;101
346;4°;95
346;5°;89
346;6°;90
346;7°;104
378;3°;105
378;6°;94
384;2°;54
384;3°;69
384;4°;76
384;5°;74
384;6°;83
384;7°;79
392;2°;83
392;3°;90
392;4°;82
392;5°;89
392;6°;85
392;7°;81
393;2°;60
393;3°;49
393;4°;46
393;5°;54
393;6°;59
393;7°;64
417;2°;104
417;3°;77
417;4°;98
417;5°;78
417;6°;67
417;7°;92
457;2°;25
457;3°;25
457;4°;17
457;5°;21
457;6°;13
457;7°;16
461;2°;19
461;3°;25
461;4°;20
461;5°;16
461;6°;22
461;7°;20
477;2°;28
477;3°;33
477;4°;19
477;5°;24
477;6°;14
477;7°;28
478;2°;67
478;3°;58
478;4°;48
478;5°;50
478;6°;50
478;7°;48
485;2°;46
485;3°;48
485;4°;48
485;5°;50
485;6°;35
485;7°;49
486;2°;63
486;3°;63
486;4°;57
486;5°;60
486;6°;51
486;7°;56
494;2°;35
494;3°;29
494;4°;28
494;5°;25
494;6°;24
494;7°;30
511;2°;16
511;3°;16
511;4°;18
511;5°;11
511;6°;13
511;7°;4
514;2°;78
514;3°;76
514;4°;70
514;5°;55
514;6°;55
514;7°;82
552;2°;63
552;3°;57
552;4°;60
552;5°;38
552;6°;50
552;7°;50
582;2°;48
582;3°;62
582;4°;55
582;5°;53
582;6°;58
582;7°;48
621;2°;48
621;3°;26
621;4°;23
621;5°;25
621;6°;30
621;7°;20
989;1°;191
989;2°;211
989;3°;213
989;4°;182
989;5°;183
990;1°;119
990;2°;126
990;3°;116
990;4°;89
990;5°;94
990;6°;93
991;1°;130
991;2°;179
991;3°;153
991;4°;124
991;5°;117
991;6°;105
993;1°;161
993;2°;169
993;3°;131
993;4°;115
993;5°;79
993;6°;65
997;1°;166
997;2°;170
997;3°;149
997;4°;132
997;5°;85
1004;1°;195
1004;2°;208
1004;3°;202
1004;4°;180
1004;5°;156
1004;6°;143
1008;1°;134
1008;2°;142
1008;3°;138
1008;4°;111
1008;5°;86
1008;6°;70
1010;1°;96
1010;2°;115
1010;3°;86
1010;4°;87
1010;5°;72
1010;6°;38
1012;1°;124
1012;2°;120
1012;3°;105
1012;4°;83
1012;5°;71
1015;1°;85
1015;2°;90
1015;3°;60
1015;4°;53
1015;5°;28
1022;2°;59
1022;3°;59
1022;4°;67
1022;5°;44
1022;6°;38
1023;1°;229
1023;2°;209
1023;3°;226
1023;4°;164
1023;5°;143
1023;6°;92
1024;1°;98
1024;2°;76
1024;3°;63
1026;1°;116
1026;2°;127
1026;3°;114
1026;4°;72
1026;5°;81
1026;6°;77
1027;1°;69
1027;2°;66
1027;3°;54
1027;4°;29
1027;5°;46
1027;6°;23
1034;1°;101
1034;2°;117
1034;3°;92
1034;4°;77
1034;5°;52
1034;6°;52
1037;1°;90
1037;2°;87
1037;3°;89
1037;4°;83
1037;5°;68
1038;1°;89
1038;2°;79
1038;3°;80
1038;4°;63
1038;5°;55
1043;1°;139
1043;2°;123
1043;3°;123
1043;4°;119
1043;5°;125
1043;6°;24
1050;1°;154
1050;2°;158
1050;3°;121
1050;4°;96
1050;5°;58
1050;6°;51
1052;1°;158
1052;2°;161
1052;3°;158
1052;4°;132
1052;5°;141
1052;6°;23
1053;1°;137
1053;2°;132
1053;3°;134
1053;4°;92
1053;5°;107
1054;1°;116
1054;2°;115
1054;3°;97
1054;4°;132
1054;5°;103
1055;1°;83
1055;2°;85
1055;3°;102
1055;4°;103
1055;5°;75
1065;1°;150
1065;2°;119
1065;3°;103
1065;4°;100
1065;5°;84
1065;6°;74
1066;1°;95
1066;2°;101
1066;3°;76
1066;4°;72
1066;5°;55
1069;1°;163
1069;2°;111
1069;3°;121
1069;4°;104
1069;5°;72
1069;6°;5
1070;1°;13
1070;2°;11
1070;3°;47
1070;4°;17
1070;5°;8
1073;1°;208
1073;2°;187
1073;3°;186
1073;4°;139
1073;5°;124
1074;1°;6
1074;2°;6
1074;3°;7
1074;4°;3
1074;5°;1
1080;1°;173
1080;2°;145
1080;3°;115
1080;4°;110
1080;5°;95
1092;1°;193
1092;2°;199
1092;3°;225
1092;4°;140
1092;5°;121
1092;6°;102
1096;1°;192
1096;2°;193
1096;3°;181
1096;4°;146
1096;5°;110
1096;6°;97
1098;1°;165
1098;2°;125
1098;3°;78
1098;4°;59
1098;5°;42
1098;6°;23
1099;1°;327
1099;2°;335
1099;3°;290
1099;4°;263
1099;5°;230
1099;6°;190
1103;1°;113
1103;2°;102
1103;3°;89
1103;4°;84
1103;5°;79
1106;1°;275
1106;2°;246
1106;3°;172
1106;4°;180
1106;5°;143
1106;6°;105
1107;1°;112
1107;2°;111
1107;3°;90
1107;4°;73
1107;5°;76
1107;6°;51
1108;1°;177
1108;2°;165
1108;3°;130
1108;4°;129
1108;5°;68
1108;6°;91
1109;1°;202
1109;2°;208
1109;3°;202
1109;4°;92
1109;5°;88
1109;6°;63
1110;1°;92
1110;2°;89
1110;3°;107
1110;4°;91
1110;5°;61
1110;6°;73
1111;1°;93
1111;2°;85
1111;3°;86
1111;4°;59
1111;5°;67
1111;6°;51
1116;1°;153
1116;2°;140
1116;3°;146
1116;4°;119
1116;5°;110
1120;1°;105
1120;2°;119
1120;3°;132
1120;4°;110
1120;5°;76
1120;6°;70
1121;1°;149
1121;2°;106
1121;3°;110
1121;4°;86
1121;5°;94
1125;1°;86
1125;2°;84
1125;3°;68
1125;4°;71
1125;5°;57
1133;1°;131
1133;2°;125
1133;3°;128
1133;4°;99
1133;5°;64
1133;6°;30
1134;1°;45
1134;2°;63
1134;3°;51
1134;4°;44
1134;5°;46
1140;1°;149
1140;2°;163
1140;3°;129
1140;4°;91
1140;5°;102
1141;1°;62
1141;2°;54
1141;3°;84
1141;4°;56
1141;5°;38
1142;1°;52
1142;2°;66
1142;3°;66
1142;4°;64
1142;5°;64
1143;1°;175
1143;2°;182
1143;3°;184
1143;4°;160
1143;5°;88
1144;1°;151
