Escuela_ID;Curso;División;Matrícula
9;2°;A;31
9;2°;B;33
9;2°;C;26
9;2°;D;28
9;3°;A;30
9;3°;B;32
9;3°;C;26
9;3°;D;21
9;4°;A;34
9;4°;B;32
9;4°;C;22
9;4°;D;23
9;5°;A;30
9;5°;B;29
9;5°;C;26
9;5°;D;31
9;6°;A;31
9;6°;B;28
9;6°;C;29
9;6°;D;25
9;7°;A;27
9;7°;B;25
9;7°;C;26
9;7°;D;24
9;7°;E;28
14;2°;A;30
14;2°;B;29
14;3°;A;26
14;3°;B;25
14;4°;A;30
14;4°;B;32
14;5°;A;29
14;5°;B;25
14;6°;A;30
14;6°;B;21
14;7°;A;31
14;7°;B;25
22;2°;A;27
22;2°;B;25
22;2°;C;29
22;3°;A;26
22;3°;B;20
22;3°;C;23
22;4°;A;29
22;4°;B;29
22;4°;C;24
22;5°;A;30
22;5°;B;21
22;5°;C;18
22;6°;A;28
22;6°;B;28
22;6°;C;24
22;6°;D;20
22;7°;A;33
22;7°;B;27
22;7°;C;22
60;2°;A;26
60;3°;A;18
60;3°;B;18
60;4°;A;20
60;4°;B;23
60;5°;A;25
60;6°;A;19
60;6°;B;20
60;7°;A;28
74;2°;A;27
74;2°;B;30
74;2°;C;24
74;2°;D;22
74;3°;A;31
74;3°;B;33
74;3°;C;31
74;3°;D;24
74;4°;A;32
74;4°;B;30
74;4°;C;28
74;4°;D;25
74;5°;A;32
74;5°;B;29
74;5°;C;28
74;5°;D;26
74;6°;A;31
74;6°;B;28
74;6°;C;23
74;6°;D;27
74;7°;A;36
74;7°;B;32
74;7°;C;27
74;7°;D;31
194;2°;A;22
194;2°;B;17
194;2°;C;17
194;3°;A;29
194;3°;B;16
194;3°;C;19
194;4°;A;23
194;4°;B;31
194;5°;A;23
194;5°;B;20
194;6°;A;14
194;6°;B;14
194;6°;C;16
194;7°;A;27
194;7°;B;17
197;2°;A;29
197;2°;B;31
197;2°;C;27
197;2°;D;28
197;3°;A;30
197;3°;B;27
197;3°;C;23
197;3°;D;22
197;4°;A;28
197;4°;B;29
197;4°;C;21
197;4°;D;24
197;5°;A;27
197;5°;B;28
197;5°;C;23
197;5°;D;28
197;6°;A;22
197;6°;B;24
197;6°;C;22
197;6°;D;25
197;7°;A;28
197;7°;B;29
197;7°;C;25
197;7°;D;25
210;2°;A;26
210;2°;B;23
210;2°;C;27
210;3°;A;27
210;3°;B;24
210;3°;C;23
210;4°;A;27
210;4°;B;25
210;4°;C;25
210;5°;A;27
210;5°;B;30
210;5°;C;13
210;5°;D;13
210;6°;A;28
210;6°;B;12
210;6°;C;14
210;7°;A;26
210;7°;B;27
210;7°;C;21
250;2°;A;28
250;2°;B;25
250;3°;A;23
250;3°;B;19
250;3°;C;18
250;4°;A;25
250;4°;B;21
250;5°;A;26
250;5°;B;15
250;5°;C;16
250;6°;A;23
250;6°;B;23
250;6°;C;22
250;7°;A;28
250;7°;B;23
253;2°;A;25
253;2°;B;26
253;2°;C;25
253;3°;A;27
253;3°;B;22
253;3°;C;25
253;4°;A;28
253;4°;B;23
253;4°;C;20
253;4°;D;20
253;5°;A;26
253;5°;B;23
253;5°;C;20
253;6°;A;24
253;6°;B;25
253;6°;C;26
253;7°;A;29
253;7°;B;30
253;7°;C;25
288;4°;A;15
288;5°;A;10
288;6°;A;19
288;7°;A;14
346;2°;A;29
346;2°;B;28
346;2°;C;25
346;2°;D;25
346;3°;A;26
346;3°;B;28
346;3°;C;23
346;3°;D;24
346;4°;A;23
346;4°;B;25
346;4°;C;25
346;4°;D;22
346;5°;A;26
346;5°;B;25
346;5°;C;22
346;5°;D;16
346;6°;A;26
346;6°;B;21
346;6°;C;21
346;6°;D;22
346;7°;A;28
346;7°;B;29
