DESEMPEÑO;Alumno_ID;Operativo;CURSO_NORMALIZADO;Curso;División;Ausente;Cantidad_de_palabras;Prosodia;Incluido;Turno;Modalidad;Nivel;Nivel_Unificado;Gestión;Supervisión;Escuela_ID;Departamento;Localidad;zona;Regional;ciclo_lectivo;separador
Crítico;724047;Operativo 2023 Instancia I;3°;3°;A;No;0;1;Si;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;**
Básico;706209;Operativo 2023 Instancia I;3°;3°;B;No;50;2;Si;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;**
Crítico;694392;Operativo 2023 Instancia I;3°;3°;C;No;4;1;Si;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;**
Crítico;614429;Operativo 2023 Instancia II;3°;3°;D;No;0;1;Si;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;**
Crítico;625148;Operativo 2023 Instancia II;3°;3°;D;No;0;1;Si;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;**
Crítico;697187;Operativo 2023 Instancia I;3°;3°;D;No;1;1;Si;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;**
Crítico;490266;Operativo 2023 Instancia II;5°;5°;C;No;0;0;Si;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;**
Crítico;788667;Operativo 2023 Instancia II;2°;2°;B;No;5;1;Si;Tarde;Presencial;Primario;Primario;Pública;01 - Primario;14;CAPITAL;CUARTA SECCION;10%;NORTE;2023;**
Avanzado;622076;Operativo 2023 Instancia II;3°;3°;A;No;135;3;Si;Mañana;Presencial;Primario;Primario;Pública;01 - Primario;14;CAPITAL;CUARTA SECCION;10%;NORTE;2023;**
Crítico;694564;Operativo 2023 Instancia II;3°;3°;A;No;21;1;Si;Mañana;Presencial;Primario;Primario;Pública;01 - Primario;14;CAPITAL;CUARTA SECCION;10%;NORTE;2023;**
Crítico;629503;Operativo 2023 Instancia II;4°;4°;A;No;35;1;Si;Mañana;Presencial;Primario;Primario;Pública;01 - Primario;14;CAPITAL;CUARTA SECCION;10%;NORTE;2023;**
Crítico;490454;Operativo 2023 Instancia II;5°;5°;A;No;9;1;Si;Mañana;Presencial;Primario;Primario;Pública;01 - Primario;14;CAPITAL;CUARTA SECCION;10%;NORTE;2023;**
Básico;505705;Operativo 2023 Instancia II;5°;5°;B;No;63;2;Si;Tarde;Presencial;Primario;Primario;Pública;01 - Primario;14;CAPITAL;CUARTA SECCION;10%;NORTE;2023;**
