DESEMPEÑO;Alumno_ID;Operativo;CURSO_NORMALIZADO;Curso;División;Ausente;Cantidad_de_palabras;Prosodia;Incluido;Turno;Modalidad;Nivel;Nivel_Unificado;Gestión;Supervisión;Escuela_ID;Departamento;Localidad;zona;Regional;ciclo_lectivo;separador
Avanzado;416282;Operativo 2023 Instancia II;1°;1°;5ta;No;307;1;No;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;989;CAPITAL;QUINTA SECCION;10%;NORTE;2023;**
Avanzado;225926;Operativo 2023 Instancia II;6°;6°;6º;No;309;3;No;Mañana y Tarde;Presencial;Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;1004;JUNIN;JUNIN;80%;NO CORRESPONDE;2023;**
Avanzado;425324;Operativo 2023 Instancia I;1°;1°;Segunda;No;1176;2;No;Mañana;Presencial;Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;1023;TUNUYÁN;VISTA FLORES;80%;NO CORRESPONDE;2023;**
Avanzado;368208;Operativo 2023 Instancia II;2°;2°;2;No;1325;2;No;Mañana y Tarde;Presencial;Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;1043;JUNIN;JUNIN;80%;NO CORRESPONDE;2023;**
Avanzado;367126;Operativo 2023 Instancia II;2°;2°;1º ;No;1111;1;No;Mañana;Presencial;Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;1092;LUJÁN DE CUYO;LUJÁN;10%;NO CORRESPONDE;2023;**
Avanzado;333793;Operativo 2023 Instancia II;3°;3°;3;No;1182;3;No;Tarde;Presencial;Secundario Orientado;Secundario;Pública;02 - Secundario Orientado;1103;GUAYMALLÉN;DORREGO;10%;NO CORRESPONDE;2023;**
Avanzado;400377;Operativo 2023 Instancia II;1°;1°;1°;No;1000;3;No;Mañana;Presencial;Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;1108;SAN MARTÍN;SAN MARTÍN;40%;NO CORRESPONDE;2023;**
Avanzado;291679;Operativo 2023 Instancia II;4°;4°;1º;No;313;3;No;Tarde;Presencial;Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;1108;SAN MARTÍN;SAN MARTÍN;40%;NO CORRESPONDE;2023;**
Avanzado;297854;Operativo 2023 Instancia II;4°;4°;1º;No;313;3;No;Tarde;Presencial;Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;1108;SAN MARTÍN;SAN MARTÍN;40%;NO CORRESPONDE;2023;**
Avanzado;299485;Operativo 2023 Instancia II;4°;4°;1º;No;303;3;No;Tarde;Presencial;Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;1108;SAN MARTÍN;SAN MARTÍN;40%;NO CORRESPONDE;2023;**
