Escuela_ID;Matrícula_por_Escuela_ID
9;820
14;396
22;561
60;217
74;792
194;338
197;715
210;494
250;394
253;532
288;104
346;685
378;732
384;500
392;577
393;383
417;598
457;128
461;135
477;163
478;348
485;314
486;408
494;198
511;72
514;471
552;371
582;374
621;188
989;986
990;624
991;817
993;708
997;688
1004;1063
1008;644
1010;483
1012;500
1013;663
1015;336
1018;356
1022;323
1023;1032
1024;341
1026;587
1027;282
1034;454
1037;416
1038;355
1041;411
1043;652
1050;593
1052;779
1053;588
1054;596
1055;462
1065;574
1066;387
1069;588
1070;483
1073;802
1074;264
1080;622
1092;946
1095;705
1096;876
1098;448
1099;1604
1103;453
1106;1075
1107;494
1108;771
1109;801
1110;504
1111;423
1116;671
1120;599
1121;545
1125;359
1133;563
1134;270
1140;621
1141;290
1142;350
1143;879
1144;587
1154;794
1162;333
1163;251
1168;151
1170;146
1176;297
1181;213
1189;364
1191;296
1198;204
1199;450
1200;138
1202;274
1204;359
1209;439
1224;96
1241;150
1450;816
1812;444
1813;441
1817;329
1818;458
1820;551
1823;321
1824;440
1831;326
1832;225
1837;410
1842;461
1844;410
1846;128
1847;412
1849;409
1852;414
1854;221
1856;198
1862;166
1865;182
1867;490
1869;412
1875;402
1877;180
1878;433
1882;361
1883;232
1884;843
1885;219
1887;181
1905;58
1908;387
1909;309
1910;412
1913;157
1914;199
1918;217
1926;424
1935;135
1936;186
1947;493
1948;319
1949;351
1950;321
1951;446
1952;157
1953;157
1954;349
1955;308
1956;467
1957;413
1958;309
1959;317
1960;148
1961;36
1962;146
1964;293
1970;259
1975;121
1979;637
1980;457
1985;287
1987;286
1989;150
1993;177
1995;133
1998;294
1999;253
2001;224
2007;278
2015;375
2017;311
2021;271
2027;696
2035;184
2039;98
2041;162
2047;174
2058;160
2353;402
2355;538
2358;487
2361;700
2389;557
2565;618
2572;387
2586;181
2587;517
2590;319
2639;121
2648;103
2661;139
2662;98
2667;343
2669;98
2670;100
2675;575
2676;263
2677;321
2680;142
2681;271
2682;105
3191;181
3206;344
3210;136
4394;132
4984;157
5087;91
5089;65
5111;126
5165;265
