Escuela_ID;Curso;Matrícula
9;1°;107
9;2°;115
9;3°;119
9;4°;117
9;5°;120
9;6°;114
9;7°;128
14;1°;50
14;2°;60
14;3°;57
14;4°;62
14;5°;61
14;6°;52
14;7°;54
22;1°;69
22;2°;80
22;3°;76
22;4°;84
22;5°;72
22;6°;97
22;7°;83
60;1°;20
60;2°;26
60;3°;36
60;4°;43
60;5°;27
60;6°;37
60;7°;28
74;1°;107
74;2°;99
74;3°;123
74;4°;114
74;5°;115
74;6°;109
74;7°;125
194;1°;40
194;2°;58
194;3°;63
194;4°;53
194;5°;39
194;6°;41
194;7°;44
197;1°;94
197;2°;110
197;3°;106
197;4°;100
197;5°;108
197;6°;91
197;7°;106
210;1°;59
210;2°;71
210;3°;75
210;4°;76
210;5°;81
210;6°;59
210;7°;73
250;1°;56
250;2°;54
250;3°;60
250;4°;47
250;5°;57
250;6°;68
250;7°;52
253;1°;63
253;2°;73
253;3°;74
253;4°;92
253;5°;70
253;6°;76
253;7°;84
288;1°;11
288;2°;16
288;3°;14
288;4°;17
288;5°;10
288;6°;19
288;7°;17
346;1°;81
346;2°;112
346;3°;104
346;4°;103
346;5°;89
346;6°;94
346;7°;102
378;1°;101
378;2°;104
378;3°;100
378;4°;120
378;5°;105
378;6°;95
378;7°;107
384;1°;56
384;2°;60
384;3°;74
384;4°;77
384;5°;71
384;6°;84
384;7°;78
392;1°;74
392;2°;81
392;3°;90
392;4°;84
392;5°;85
392;6°;81
392;7°;82
393;1°;39
393;2°;65
393;3°;50
393;4°;47
393;5°;55
393;6°;61
393;7°;66
417;1°;89
417;2°;107
417;3°;70
417;4°;96
417;5°;76
417;6°;70
417;7°;90
457;1°;12
457;2°;24
457;3°;26
457;4°;17
457;5°;23
457;6°;11
457;7°;15
461;1°;13
461;2°;21
461;3°;28
461;4°;18
461;5°;16
461;6°;20
461;7°;19
477;1°;17
477;2°;28
477;3°;32
477;4°;21
477;5°;23
477;6°;15
477;7°;27
478;1°;41
478;2°;69
478;3°;55
478;4°;45
478;5°;46
478;6°;45
478;7°;47
485;1°;43
485;2°;46
485;3°;48
485;4°;48
485;5°;46
485;6°;35
485;7°;48
486;1°;51
486;2°;64
486;3°;65
486;4°;58
486;5°;63
486;6°;50
486;7°;57
494;1°;27
494;2°;35
494;3°;27
494;4°;29
494;5°;26
494;6°;24
494;7°;30
511;1°;18
511;2°;15
511;3°;11
511;4°;16
511;5°;12
514;1°;53
514;2°;79
514;3°;79
514;4°;69
514;5°;58
514;6°;55
514;7°;78
552;1°;46
552;2°;61
552;3°;59
552;4°;61
552;5°;37
552;6°;56
552;7°;51
582;1°;41
582;2°;51
582;3°;64
582;4°;58
582;5°;54
582;6°;57
582;7°;49
621;1°;19
621;2°;45
621;3°;28
621;4°;27
621;5°;20
621;6°;26
621;7°;23
989;1°;196
989;2°;208
989;3°;213
989;4°;185
989;5°;184
990;1°;117
990;2°;124
990;3°;110
990;4°;88
990;5°;92
990;6°;93
991;1°;158
991;2°;170
991;3°;148
991;4°;119
991;5°;117
991;6°;105
993;1°;162
993;2°;166
993;3°;125
993;4°;115
993;5°;76
993;6°;64
997;1°;161
997;2°;163
997;3°;145
997;4°;132
997;5°;87
1004;1°;190
1004;2°;204
1004;3°;196
1004;4°;174
1004;5°;155
1004;6°;144
1008;1°;132
1008;2°;136
1008;3°;131
1008;4°;97
1008;5°;80
1008;6°;68
1010;1°;98
1010;2°;112
1010;3°;89
1010;4°;77
1010;5°;69
1010;6°;38
1012;1°;122
1012;2°;115
1012;3°;109
1012;4°;81
1012;5°;73
1013;1°;139
1013;2°;137
1013;3°;147
1013;4°;112
1013;5°;92
1013;6°;36
1015;1°;91
1015;2°;83
1015;3°;49
1015;4°;48
1015;5°;27
1015;6°;38
1018;1°;95
1018;2°;89
1018;3°;61
1018;4°;48
1018;5°;56
1018;6°;7
1022;1°;66
1022;2°;57
1022;3°;59
1022;4°;62
1022;5°;42
1022;6°;37
1023;1°;220
1023;2°;207
1023;3°;217
1023;4°;156
1023;5°;141
1023;6°;91
1024;1°;100
1024;2°;74
1024;3°;65
1024;4°;44
1024;5°;42
1024;6°;16
1026;1°;115
1026;2°;122
1026;3°;129
1026;4°;70
1026;5°;75
1026;6°;76
1027;1°;71
1027;2°;64
1027;3°;52
1027;4°;30
1027;5°;42
1027;6°;23
1034;1°;104
1034;2°;107
1034;3°;78
1034;4°;67
1034;5°;47
1034;6°;51
1037;1°;90
1037;2°;89
1037;3°;89
1037;4°;80
1037;5°;68
1038;1°;83
1038;2°;79
1038;3°;78
1038;4°;61
1038;5°;54
1041;1°;92
1041;2°;91
1041;3°;76
1041;4°;57
1041;5°;46
1041;6°;49
1043;1°;141
1043;2°;124
1043;3°;119
1043;4°;121
1043;5°;124
1043;6°;23
1050;1°;146
1050;2°;140
1050;3°;115
1050;4°;89
1050;5°;52
1050;6°;51
1052;1°;159
1052;2°;163
1052;3°;157
1052;4°;132
1052;5°;145
1052;6°;23
1053;1°;136
1053;2°;130
1053;3°;127
1053;4°;88
1053;5°;107
1054;1°;127
1054;2°;128
1054;3°;111
1054;4°;132
1054;5°;98
1055;1°;98
1055;2°;94
1055;3°;105
1055;4°;92
1055;5°;73
1065;1°;148
1065;2°;103
1065;3°;85
1065;4°;87
1065;5°;80
1065;6°;71
1066;1°;101
1066;2°;91
1066;3°;73
1066;4°;68
1066;5°;54
1069;1°;168
1069;2°;119
1069;3°;116
1069;4°;108
1069;5°;72
1069;6°;5
1070;1°;108
1070;2°;95
1070;3°;111
1070;4°;91
1070;5°;78
1073;1°;194
1073;2°;171
1073;3°;188
1073;4°;126
1073;5°;123
1074;1°;62
1074;2°;59
1074;3°;54
1074;4°;48
1074;5°;41
1080;1°;164
