Escuela_ID;Curso;División;Matrícula
9;1°;A;30
9;1°;B;26
9;1°;C;25
9;1°;D;26
9;2°;A;31
9;2°;B;32
9;2°;C;26
9;2°;D;26
9;3°;A;32
9;3°;B;33
9;3°;C;27
9;3°;D;27
9;4°;A;33
9;4°;B;33
9;4°;C;26
9;4°;D;25
9;5°;A;31
9;5°;B;30
9;5°;C;29
9;5°;D;30
9;6°;A;31
9;6°;B;29
9;6°;C;29
9;6°;D;25
9;7°;A;25
9;7°;B;26
9;7°;C;24
9;7°;D;24
9;7°;E;29
14;1°;A;28
14;1°;B;22
14;2°;A;30
14;2°;B;30
14;3°;A;28
14;3°;B;29
14;4°;A;31
14;4°;B;31
14;5°;A;31
14;5°;B;30
14;6°;A;30
14;6°;B;22
14;7°;A;30
14;7°;B;24
22;1°;A;23
22;1°;B;24
22;1°;C;22
22;2°;A;27
22;2°;B;25
22;2°;C;28
22;3°;A;27
22;3°;B;24
22;3°;C;25
22;4°;A;29
22;4°;B;29
22;4°;C;26
22;5°;A;30
22;5°;B;21
22;5°;C;21
22;6°;A;26
22;6°;B;27
22;6°;C;24
22;6°;D;20
22;7°;A;32
22;7°;B;26
22;7°;C;25
60;1°;A;20
60;2°;A;26
60;3°;A;18
60;3°;B;18
60;4°;A;22
60;4°;B;21
60;5°;A;27
60;6°;A;17
60;6°;B;20
60;7°;A;28
74;1°;A;25
74;1°;B;24
74;1°;C;29
74;1°;D;29
74;2°;A;28
74;2°;B;29
74;2°;C;21
74;2°;D;21
74;3°;A;32
74;3°;B;33
74;3°;C;30
74;3°;D;28
74;4°;A;32
74;4°;B;30
74;4°;C;27
74;4°;D;25
74;5°;A;32
74;5°;B;31
74;5°;C;28
74;5°;D;24
74;6°;A;31
74;6°;B;28
74;6°;C;24
74;6°;D;26
74;7°;A;35
74;7°;B;32
74;7°;C;27
74;7°;D;31
194;1°;A;17
194;1°;B;10
194;1°;C;13
194;2°;A;22
194;2°;B;18
194;2°;C;18
194;3°;A;24
194;3°;B;21
194;3°;C;18
194;4°;A;25
194;4°;B;28
194;5°;A;22
194;5°;B;17
194;6°;A;11
194;6°;B;14
194;6°;C;16
194;7°;A;26
194;7°;B;18
197;1°;A;25
197;1°;B;28
197;1°;C;20
197;1°;D;21
197;2°;A;29
197;2°;B;29
197;2°;C;25
197;2°;D;27
197;3°;A;30
197;3°;B;27
197;3°;C;25
197;3°;D;24
197;4°;A;28
197;4°;B;27
197;4°;C;21
197;4°;D;24
197;5°;A;28
197;5°;B;28
197;5°;C;23
197;5°;D;29
197;6°;A;22
197;6°;B;24
197;6°;C;23
197;6°;D;22
197;7°;A;27
197;7°;B;29
197;7°;C;26
197;7°;D;24
210;1°;A;24
210;1°;B;15
210;1°;C;20
210;2°;A;25
210;2°;B;23
210;2°;C;23
210;3°;A;26
210;3°;B;25
210;3°;C;24
210;4°;A;26
210;4°;B;25
210;4°;C;25
210;5°;A;29
210;5°;B;29
210;5°;C;23
210;6°;A;28
210;6°;B;14
210;6°;C;17
210;7°;A;27
210;7°;B;26
210;7°;C;20
250;1°;A;17
250;1°;B;18
250;1°;C;21
250;2°;A;29
250;2°;B;25
250;3°;A;23
250;3°;B;20
250;3°;C;17
250;4°;A;25
250;4°;B;22
250;5°;A;25
250;5°;B;15
250;5°;C;17
250;6°;A;22
250;6°;B;24
250;6°;C;22
250;7°;A;28
250;7°;B;24
253;1°;A;24
253;1°;B;20
253;1°;C;19
253;2°;A;23
253;2°;B;25
253;2°;C;25
253;3°;A;25
253;3°;B;24
253;3°;C;25
253;4°;A;28
253;4°;B;24
253;4°;C;21
253;4°;D;19
253;5°;A;27
253;5°;B;23
253;5°;C;20
253;6°;A;25
253;6°;B;25
253;6°;C;26
253;7°;A;29
253;7°;B;30
253;7°;C;25
288;1°;A;11
288;2°;A;16
288;3°;A;14
288;4°;A;17
288;5°;A;10
288;6°;A;19
288;7°;A;17
346;1°;A;27
346;1°;B;27
346;1°;C;27
346;2°;A;29
346;2°;B;29
346;2°;C;28
346;2°;D;26
346;3°;A;28
346;3°;B;28
346;3°;C;24
346;3°;D;24
346;4°;A;25
346;4°;B;25
346;4°;C;25
346;4°;D;28
346;5°;A;25
346;5°;B;26
346;5°;C;20
346;5°;D;18
346;6°;A;26
346;6°;B;24
346;6°;C;22
346;6°;D;22
346;7°;A;28
346;7°;B;29
346;7°;C;23
