Nivel;Nivel_Unificado;Gestión;Supervisión;Escuela_ID;Departamento;Localidad;zona;AMBITO;Regional
Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;Urbano;NORTE
Primario;Primario;Pública;01 - Primario;14;CAPITAL;CUARTA SECCION;10%;Urbano;NORTE
Primario;Primario;Pública;02 - Primario;22;CAPITAL;CIUDAD;10%;Urbano;NORTE
Primario;Primario;Pública;01 - Primario;60;CAPITAL;QUINTA SECCION;10%;Urbano marginal;NORTE
Primario;Primario;Pública;02 - Primario;74;CAPITAL;SEGUNDA SECCION;10%;Urbano;NORTE
Primario;Primario;Pública;01 - Primario;194;CAPITAL;SEXTA SECCION;60%;Marginal;NORTE
Primario;Primario;Pública;01 - Primario;197;CAPITAL;SEXTA SECCION;10%;Urbano;NORTE
Primario;Primario;Pública;02 - Primario;210;CAPITAL;TERCERA SECCION;10%;Urbano;NORTE
Primario;Primario;Pública;01 - Primario;250;CAPITAL;CUARTA SECCION;10%;Urbano;NORTE
Primario;Primario;Pública;01 - Primario;253;CAPITAL;SEXTA SECCION;10%;Urbano;NORTE
Primario;Primario;Pública;03 - Primario;288;LAS HERAS;PANQUEHUA;80%;Rural;NORTE
Primario;Primario;Pública;03 - Primario;346;LAS HERAS;PANQUEHUA;60%;Urbano marginal;NORTE
Primario;Primario;Pública;01 - Primario;378;CAPITAL;CUARTA SECCION;10%;Urbano;NORTE
Primario;Primario;Pública;01 - Primario;384;CAPITAL;CUARTA SECCION;10%;Urbano;NORTE
Primario;Primario;Pública;03 - Primario;392;LAS HERAS;LA CIENEGUITA;10%;Urbano;NORTE
Primario;Primario;Pública;01 - Primario;393;CAPITAL;SEXTA SECCION;10%;Urbano;NORTE
Primario;Primario;Pública;03 - Primario;417;LAS HERAS;LAS HERAS;60%;Urbano marginal;NORTE
Primario;Primario;Pública;02 - Primario;457;CAPITAL;SEXTA SECCION;80%;Urbano marginal;NORTE
Primario;Primario;Pública;01 - Primario;461;CAPITAL;SEXTA SECCION;80%;Marginal;NORTE
Primario;Primario;Pública;02 - Primario;477;CAPITAL;SEXTA SECCION;80%;Urbano marginal;NORTE
Primario;Primario;Pública;03 - Primario;478;LAS HERAS;PANQUEHUA;60%;Urbano marginal;NORTE
Primario;Primario;Pública;03 - Primario;485;LAS HERAS;EL CHALLAO;80%;Marginal;NORTE
Primario;Primario;Pública;03 - Primario;486;LAS HERAS;EL CHALLAO;60%;Urbano marginal;NORTE
Primario;Primario;Pública;02 - Primario;494;LAS HERAS;EL CHALLAO;80%;Urbano marginal;NORTE
Primario;Primario;Pública;03 - Primario;511;LAS HERAS;EL CHALLAO;80%;Marginal;NORTE
Primario;Primario;Pública;03 - Primario;514;LAS HERAS;EL CHALLAO;10%;Urbano;NORTE
Primario;Primario;Pública;03 - Primario;552;LAS HERAS;PANQUEHUA;60%;Urbano marginal;NORTE
Primario;Primario;Pública;03 - Primario;582;LAS HERAS;EL CHALLAO;40%;Urbano marginal;NORTE
Primario;Primario;Pública;03 - Primario;621;LAS HERAS;PANQUEHUA;60%;Marginal;NORTE
Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;989;CAPITAL;QUINTA SECCION;10%;Urbano;-
Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;990;CAPITAL;QUINTA SECCION;10%;Urbano;-
Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;991;MAIPÚ;MAIPÚ;10%;Urbano;-
Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;993;SAN MARTÍN;SAN MARTÍN;40%;Urbano;-
Secundario Orientado;Secundario;Pública;03 - Secundario Orientado;997;GUAYMALLÉN;VILLA NUEVA;10%;Urbano marginal;-
Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;1004;JUNIN;JUNIN;80%;Urbano;-
Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;1008;GODOY CRUZ;SAN FRANCISCO DEL MONTE;10%;Urbano;-
Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;1010;LUJÁN DE CUYO;CHACRAS DE CORIA;10%;Urbano;-
Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1012;CAPITAL;SEGUNDA SECCION;10%;Urbano;-
Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;1013;GUAYMALLÉN;LOS CORRALITOS;80%;Rural;-
Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;1015;SAN MARTÍN;ALTO VERDE;80%;Rural;-
Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;1018;GODOY CRUZ;GODOY CRUZ;60%;Urbano marginal;-
Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;1022;LA PAZ;VILLA ANTIGUA;110%;Rural;-
Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;1023;TUNUYÁN;VISTA FLORES;80%;Urbano;-
Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;1024;GODOY CRUZ;LAS TORTUGAS;80%;Urbano marginal;-
Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;1026;LUJÁN DE CUYO;UGARTECHE;80%;Rural;-
Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;1027;MAIPÚ;CRUZ DE PIEDRA;60%;Rural;-
Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;1034;LUJÁN DE CUYO;CARRODILLA;40%;Urbano;-
Secundario Orientado;Secundario;Pública;02 - Secundario Orientado;1037;GUAYMALLÉN;VILLA NUEVA;40%;Urbano marginal;-
Secundario Orientado;Secundario;Pública;02 - Secundario Orientado;1038;GUAYMALLÉN;VILLA NUEVA;10%;Urbano;-
Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;1041;MAIPÚ;MAIPÚ;60%;Urbano marginal;-
Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;1043;JUNIN;JUNIN;80%;Urbano;-
Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;1050;MAIPÚ;SAN ROQUE;80%;Urbano;-
Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;1052;SAN MARTÍN;PALMIRA;60%;Urbano;-
Secundario Orientado;Secundario;Pública;03 - Secundario Orientado;1053;GUAYMALLÉN;KM 11;80%;Rural;-
Secundario Orientado;Secundario;Pública;03 - Secundario Orientado;1054;GUAYMALLÉN;RODEO DE LA CRUZ;60%;Urbano marginal;-
Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1055;CAPITAL;SEXTA SECCION;60%;Urbano;-
Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;1065;CAPITAL;CIUDAD;10%;Urbano marginal;-
Secundario Orientado;Secundario;Pública;02 - Secundario Orientado;1066;GUAYMALLÉN;SAN JOSÉ;60%;Urbano marginal;-
Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;1069;SANTA ROSA;VILLA CABECERA;80%;Rural;-
Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;Urbano;-
Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1073;CAPITAL;PRIMERA SECCION;10%;Urbano marginal;-
Secundario Orientado;Secundario;Pública;02 - Secundario Orientado;1074;GUAYMALLÉN;CAPILLA DEL ROSARIO;60%;Urbano marginal;-
Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1080;CAPITAL;CUARTA SECCION;10%;Urbano;-
Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;1092;LUJÁN DE CUYO;LUJÁN;10%;Urbano;-
Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;1095;TUNUYÁN;TUNUYÁN;80%;Urbano;-
Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;1096;MAIPÚ;MAIPÚ;10%;Urbano;-
Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;1098;JUNIN;LOS BARRIALES;80%;Urbano;-
Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;1099;CAPITAL;SEGUNDA SECCION;10%;Urbano;-
